Nombre de Lengua,Departamento,Familia Lingüística,Número de Habitantes,Número de Hablantes,Vitalidad,Porcentaje,Categoria
CUBEO,VAUPÉS,TUKANO,6984,4210,Vulnerable,0.602806415,Peligro
CUIBA,CASANARE,AISLADA,769,621,En peligro de extinción,0.807542263,Vulnerable
YUHUP,VAUPÉS,MAKU,150,0,En peligro,0,Situacion critica
SIRIANO,VAUPÉS,TUKANO,749,0,En peligro,0,Situacion critica
ACHAGUA,META,ARAWAK,796,514,En peligro de extinción,0.645728643,Peligro
WAUNANA,CHOCÓ,CHOCÓ,9066,8001,Vulnerable,0.882528127,Vulnerable
EMBERA CHAMI,CHOCÓ,CHOCÓ,29094,11923,Vulnerable,0.409809583,Peligro extincion
GUAYABERO,GUAVIARE,GUAHIBO,617,354,En peligro de extinción,0.573743922,Peligro
WIWA,MAGDALENA,CHIBCHA,10703,6971,En peligro,0.651312716,Peligro
TUKANO,VAUPÉS,TUKANO,2016,1460,Vulnerable,0.724206349,Peligro
TUYUCA,VAUPÉS,TUKANO,642,0,En peligro,0,Situacion critica
CHIMILA,MAGDALENA,CHIBCHA,1614,1035,En peligro de extinción,0.641263941,Peligro
SÁLIBA,CASANARE,SALIBA,3035,537,En peligro de extinción,0.17693575,Situacion critica
DESANO,VAUPÉS,TUKANO,2179,1080,En peligro,0.495640202,
EMBERA DOBIDA,CHOCÓ,CHOCÓ,37327,23465,Vulnerable,0.628633429,Peligro
TIKUNA,AMAZONAS,AISLADA,7879,4065,En peligro,0.515928417,Peligro
Gitanos-Rom,N. SANTANDER,ROMANÍ,4858,4220,Vulnerable,0.868670235,Vulnerable
Gitanos-Rom,SANTANDER,ROMANÍ,4858,4220,Vulnerable,0.868670235,Vulnerable
YUCUNA,AMAZONAS,ARAWAK,396,188,En peligro,0.474747475,Peligro extincion
MAKUNA,VAUPÉS,TUKANO,612,409,En peligro,0.668300654,Peligro
PUINAVE,GUAINÍA,MAKU,4318,3703,En peligro,0.85757295,Vulnerable
Gitanos-Rom,CUNDINAMARCA,ROMANÍ,4858,4220,Vulnerable,0.868670235,Vulnerable
NASAYUWE,CAUCA,AISLADA,186178,78064,En peligro,0.419297661,Peligro extincion
HITNU,ARAUCA,GUAHIBO,676,207,En peligro,0.306213018,Peligro extincion
SIKUANI,VICHADA,GUAHIBO,19791,14452,Vulnerable,0.730230913,Peligro
EMBERA KATIO,CHOCÓ,CHOCÓ,38259,25692,Vulnerable,0.671528268,Peligro
KAMSÁ,PUTUMAYO,AISLADA,4879,2280,En peligro,0.467308875,Peligro extincion
PISAMIRA,VAUPÉS,TUKANO,61,30,En situación critica,0.491803279,
TATUYO,VAUPÉS,TUKANO,381,166,En peligro,0.435695538,Peligro extincion
WANANO,VAUPÉS,TUKANO,1035,924,En peligro,0.892753623,Vulnerable
MIRAÑA,AMAZONAS,BORA,274,87,En peligro de extinción,0.317518248,Peligro extincion
NONUYA,AMAZONAS,WITOTO,90,4,En situación critica,0.044444444,Situacion critica
TANIMUKA,AMAZONAS,TUKANO,342,194,En peligro de extinción,0.567251462,Peligro
YURUTI,VAUPÉS,TUKANO,377,266,En peligro,0.705570292,Peligro
YARURO,VICHADA,PUMAFA,63,56,Vulnerable,0.888888889,Vulnerable
YAGUA,AMAZONAS,AISLADA,1007,494,En peligro,0.490566038,
COCAMA,AMAZONAS,TUPAFA,2204,213,En peligro de extinción,0.096642468,Situacion critica
WAYUUNAIKI,LA GUAJIRA,ARAWAK,270413,230514,Vulnerable,0.85245162,Vulnerable
Gitanos-Rom,ATLÁNTICO,ROMANÍ,4858,4220,Vulnerable,0.868670235,Vulnerable
KURRIPACO,GUAINÍA,AISLADA,0,0,En peligro,#�DIV/0!,#�DIV/0!
BARASANA,VAUPÉS,TUKANO,351,232,En situación critica,0.660968661,Peligro
BARI,N. SANTANDER,CHIBCHA,5926,3348,Vulnerable,0.564967938,Peligro
TARIANO,VAUPÉS,ARAWAK,445,0,En situación critica,0,Situacion critica
BORA,AMAZONAS,WITOTO,933,377,Vulnerable,0.404072883,Peligro extincion
PALENQUE,BOLÍVAR,CRIOLLA,7470,2788,En peligro,0.373226238,Peligro extincion
INGA,PUTUMAYO,QUECHUA,15450,7090,En peligro,0.458899676,Peligro extincion
SIONA,PUTUMAYO,TUKANO,1829,404,En situación critica,0.22088573,Situacion critica
KOREGUAJE,CAQUETÁ,TUKANO,1767,1384,En peligro,0.783248444,Vulnerable
CARIJONA,VAUPÉS,CARIBE,307,10,En situación critica,0.03257329,Situacion critica
KUNA,ANTIOQUIA,CHIBCHA,2383,1495,En peligro de extinción,0.62736047,Peligro
OCAINA,AMAZONAS,WITOTO,285,94,En peligro de extinción,0.329824561,Peligro extincion
TAIWANO,VAUPÉS,TUKANO,166,0,En peligro,0,Situacion critica
PIAROA,VICHADA,SALIBA,773,0,En peligro,0,Situacion critica
PIRATAPUYO,VAUPÉS,TUKANO,814,574,En situación critica,0.705159705,Peligro
IKA ARHUACO,MAGDALENA,CHIBCHA,14700,12800,Vulnerable,0.870748299,Vulnerable
COFÁN,PUTUMAYO,AISLADA,1657,544,En peligro de extinción,0.328304164,Peligro extincion
AWAPIT,NARIÑO,BARBACOA,25813,8555,En situación critica,0.331422152,Peligro extincion
BARÁ,VAUPÉS,TUKANO,0,0,En peligro,#�DIV/0!,#�DIV/0!
KOGUI,MAGDALENA,CHIBCHA,9173,7739,Vulnerable,0.843671645,Vulnerable
UITOTO,AMAZONAS,WITOTO,6444,2982,En peligro,0.462756052,Peligro extincion
TINIGUA,META,AISLADA,1,1,En situación critica,1,
U'WA,ARAUCA,CHIBCHA,7581,6264,En peligro,0.826276217,Vulnerable
ANDOQUE,AMAZONAS,AISLADA,200,46,En peligro de extinción,0.23,Situacion critica
NUKAK,GUAVIARE,MAKU,1080,299,En peligro,0.276851852,Peligro extincion
NAMTRIK,CAUCA,BARBACOA,21085,13715,En peligro,0.650462414,Peligro
CACUA,VAUPÉS,TUKANO,482,231,En peligro,0.479253112,Peligro extincion
Gitanos-Rom,CÓRDOBA,ROMANÍ,4858,4220,Vulnerable,0.868670235,Vulnerable
